Index,ICD-10 Code,Top10,DiagnosisEntity,CCSR Category,Diagnosis,Notes
2711,H5120,Other disorders of binocular eye movements,other binocular eye mvmt dis,EYE006,"Internuclear ophthalmoplegia, unspecified eye                 ",
2712,H5121,Other disorders of binocular eye movements,other binocular eye mvmt dis,EYE006,"Internuclear ophthalmoplegia, right eye                 ",
2713,H5122,Other disorders of binocular eye movements,other binocular eye mvmt dis,EYE006,"Internuclear ophthalmoplegia, left eye                 ",
2714,H5123,Other disorders of binocular eye movements,other binocular eye mvmt dis,EYE006,"Internuclear ophthalmoplegia, bilateral                  ",
2715,H518,Other disorders of binocular eye movements,other binocular eye mvmt dis,EYE006,Other specified disorders of binocular movement               ,
2716,H519,Other disorders of binocular eye movements,other binocular eye mvmt dis,EYE006,Unspecified disorder of binocular movement                ,
2717,H5200,Hypermetropia,hypermetropia,EYE009,"Hypermetropia, unspecified eye                  ",
2718,H5201,Hypermetropia,hypermetropia,EYE009,"Hypermetropia, right eye                  ",
2719,H5202,Hypermetropia,hypermetropia,EYE009,"Hypermetropia, left eye                  ",
2720,H5203,Hypermetropia,hypermetropia,EYE009,"Hypermetropia, bilateral                   ",
2721,H5210,Myopia,myopia,EYE009,"Myopia, unspecified eye                  ",
2722,H5211,Myopia,myopia,EYE009,"Myopia, right eye                  ",
2723,H5212,Myopia,myopia,EYE009,"Myopia, left eye                  ",
2724,H5213,Myopia,myopia,EYE009,"Myopia, bilateral                   ",
2725,H52201,Astigmatism,astigmatism,EYE009,"Unspecified astigmatism, right eye                 ",
2726,H52202,Astigmatism,astigmatism,EYE009,"Unspecified astigmatism, left eye                 ",
2727,H52203,Astigmatism,astigmatism,EYE009,"Unspecified astigmatism, bilateral                  ",
2728,H52209,Astigmatism,astigmatism,EYE009,"Unspecified astigmatism, unspecified eye                 ",
2729,H52211,Astigmatism,astigmatism,EYE009,"Irregular astigmatism, right eye                 ",
2730,H52212,Astigmatism,astigmatism,EYE009,"Irregular astigmatism, left eye                 ",
2731,H52213,Astigmatism,astigmatism,EYE009,"Irregular astigmatism, bilateral                  ",
2732,H52219,Astigmatism,astigmatism,EYE009,"Irregular astigmatism, unspecified eye                 ",
2733,H52221,Astigmatism,astigmatism,EYE009,"Regular astigmatism, right eye                 ",
2734,H52222,Astigmatism,astigmatism,EYE009,"Regular astigmatism, left eye                 ",
2735,H52223,Astigmatism,astigmatism,EYE009,"Regular astigmatism, bilateral                  ",
2736,H52229,Astigmatism,astigmatism,EYE009,"Regular astigmatism, unspecified eye                 ",
2737,H5231,Anisometropia and aniseikonia,anisometropia/aniseikonia,EYE009,Anisometropia                    ,
2738,H5232,Anisometropia and aniseikonia,anisometropia/aniseikonia,EYE009,Aniseikonia                    ,
2739,H524,Presbyopia,presbyopia,EYE009,Presbyopia                    ,
2740,H52511,Disorders of accommodation,accommodation disorders,EYE009,"Internal ophthalmoplegia (complete) (total), right eye               ",
2741,H52512,Disorders of accommodation,accommodation disorders,EYE009,"Internal ophthalmoplegia (complete) (total), left eye               ",
2742,H52513,Disorders of accommodation,accommodation disorders,EYE009,"Internal ophthalmoplegia (complete) (total), bilateral                ",
2743,H52519,Disorders of accommodation,accommodation disorders,EYE009,"Internal ophthalmoplegia (complete) (total), unspecified eye               ",
2744,H52521,Disorders of accommodation,accommodation disorders,EYE009,"Paresis of accommodation, right eye                ",
2745,H52522,Disorders of accommodation,accommodation disorders,EYE009,"Paresis of accommodation, left eye                ",
2746,H52523,Disorders of accommodation,accommodation disorders,EYE009,"Paresis of accommodation, bilateral                 ",
2747,H52529,Disorders of accommodation,accommodation disorders,EYE009,"Paresis of accommodation, unspecified eye                ",
2748,H52531,Disorders of accommodation,accommodation disorders,EYE009,"Spasm of accommodation, right eye                ",
2749,H52532,Disorders of accommodation,accommodation disorders,EYE009,"Spasm of accommodation, left eye                ",
2750,H52533,Disorders of accommodation,accommodation disorders,EYE009,"Spasm of accommodation, bilateral                 ",
2751,H52539,Disorders of accommodation,accommodation disorders,EYE009,"Spasm of accommodation, unspecified eye                ",
2752,H526,Other disorders of refraction and accommodation,other refraction/accommodation disorders,EYE009,Other disorders of refraction                 ,
2753,H527,Other disorders of refraction and accommodation,other refraction/accommodation disorders,EYE009,Unspecified disorder of refraction                 ,
2754,H53001,Amblyopia ex anopsia,"amblyopia, unspec",EYE010,"Unspecified amblyopia, right eye                 ",
2755,H53002,Amblyopia ex anopsia,"amblyopia, unspec",EYE010,"Unspecified amblyopia, left eye                 ",
2756,H53003,Amblyopia ex anopsia,"amblyopia, unspec",EYE010,"Unspecified amblyopia, bilateral                  ",
2757,H53009,Amblyopia ex anopsia,"amblyopia, unspec",EYE010,"Unspecified amblyopia, unspecified eye                 ",
2758,H53011,Amblyopia ex anopsia,"amblyopia, deprivation",EYE010,"Deprivation amblyopia, right eye                 ",
2759,H53012,Amblyopia ex anopsia,"amblyopia, deprivation",EYE010,"Deprivation amblyopia, left eye                 ",
2760,H53013,Amblyopia ex anopsia,"amblyopia, deprivation",EYE010,"Deprivation amblyopia, bilateral                  ",
2761,H53019,Amblyopia ex anopsia,"amblyopia, deprivation",EYE010,"Deprivation amblyopia, unspecified eye                 ",
2762,H53021,Amblyopia ex anopsia,"amblyopia, refractive",EYE010,"Refractive amblyopia, right eye                 ",
2763,H53022,Amblyopia ex anopsia,"amblyopia, refractive",EYE010,"Refractive amblyopia, left eye                 ",
2764,H53023,Amblyopia ex anopsia,"amblyopia, refractive",EYE010,"Refractive amblyopia, bilateral                  ",
2765,H53029,Amblyopia ex anopsia,"amblyopia, refractive",EYE010,"Refractive amblyopia, unspecified eye                 ",
2766,H53031,Amblyopia ex anopsia,"amblyopia, strabismic",EYE010,"Strabismic amblyopia, right eye                 ",
2767,H53032,Amblyopia ex anopsia,"amblyopia, strabismic",EYE010,"Strabismic amblyopia, left eye                 ",
2768,H53033,Amblyopia ex anopsia,"amblyopia, strabismic",EYE010,"Strabismic amblyopia, bilateral                  ",
2769,H53039,Amblyopia ex anopsia,"amblyopia, strabismic",EYE010,"Strabismic amblyopia, unspecified eye                 ",
2770,H53041,Amblyopia ex anopsia,"amblyopia, suspect",EYE010,"Amblyopia suspect, right eye                 ",
2771,H53042,Amblyopia ex anopsia,"amblyopia, suspect",EYE010,"Amblyopia suspect, left eye                 ",
2772,H53043,Amblyopia ex anopsia,"amblyopia, suspect",EYE010,"Amblyopia suspect, bilateral                  ",
2773,H53049,Amblyopia ex anopsia,"amblyopia, suspect",EYE010,"Amblyopia suspect, unspecified eye                 ",
2774,H5310,Subjective visual disturbances,other subj visual disturb,EYE010,Unspecified subjective visual disturbances                 ,
2775,H5311,Subjective visual disturbances,other subj visual disturb,EYE010,Day blindness                   ,
2776,H53121,Subjective visual disturbances,transient visual loss,EYE010,"Transient visual loss, right eye                ",
2777,H53122,Subjective visual disturbances,transient visual loss,EYE010,"Transient visual loss, left eye                ",
2778,H53123,Subjective visual disturbances,transient visual loss,EYE010,"Transient visual loss, bilateral                 ",
2779,H53129,Subjective visual disturbances,transient visual loss,EYE010,"Transient visual loss, unspecified eye                ",
2780,H53131,Subjective visual disturbances,sudden visual loss,EYE010,"Sudden visual loss, right eye                ",
2781,H53132,Subjective visual disturbances,sudden visual loss,EYE010,"Sudden visual loss, left eye                ",
2782,H53133,Subjective visual disturbances,sudden visual loss,EYE010,"Sudden visual loss, bilateral                 ",
2783,H53139,Subjective visual disturbances,sudden visual loss,EYE010,"Sudden visual loss, unspecified eye                ",
2784,H53141,Subjective visual disturbances,other subj visual disturb,EYE010,"Visual discomfort, right eye                 ",
2785,H53142,Subjective visual disturbances,other subj visual disturb,EYE010,"Visual discomfort, left eye                 ",
2786,H53143,Subjective visual disturbances,other subj visual disturb,EYE010,"Visual discomfort, bilateral                  ",
2787,H53149,Subjective visual disturbances,other subj visual disturb,EYE010,"Visual discomfort, unspecified                  ",
2788,H5315,Subjective visual disturbances,other subj visual disturb,EYE010,Visual distortions of shape and size               ,
2789,H5316,Subjective visual disturbances,other subj visual disturb,EYE010,Psychophysical visual disturbances                  ,
2790,H5319,Subjective visual disturbances,other subj visual disturb,EYE010,Other subjective visual disturbances                 ,
2791,H532,Diplopia,diplopia,EYE010,Diplopia                    ,
2792,H5330,Other disorders of binocular vision,other binocular vision disorders,EYE010,Unspecified disorder of binocular vision                ,
2793,H5331,Other disorders of binocular vision,other binocular vision disorders,EYE010,Abnormal retinal correspondence                  ,
2794,H5332,Other disorders of binocular vision,other binocular vision disorders,EYE010,Fusion with defective stereopsis                 ,
2795,H5333,Other disorders of binocular vision,other binocular vision disorders,EYE010,Simultaneous visual perception without fusion                ,
2796,H5334,Other disorders of binocular vision,other binocular vision disorders,EYE010,Suppression of binocular vision                 ,
2797,H5340,Visual field defects,visual field defects,EYE010,Unspecified visual field defects                 ,
2798,H53411,Visual field defects,visual field defects,EYE010,"Scotoma involving central area, right eye               ",
2799,H53412,Visual field defects,visual field defects,EYE010,"Scotoma involving central area, left eye               ",
2800,H53413,Visual field defects,visual field defects,EYE010,"Scotoma involving central area, bilateral                ",
2801,H53419,Visual field defects,visual field defects,EYE010,"Scotoma involving central area, unspecified eye               ",
2802,H53421,Visual field defects,visual field defects,EYE010,"Scotoma of blind spot area, right eye              ",
2803,H53422,Visual field defects,visual field defects,EYE010,"Scotoma of blind spot area, left eye              ",
2804,H53423,Visual field defects,visual field defects,EYE010,"Scotoma of blind spot area, bilateral               ",
2805,H53429,Visual field defects,visual field defects,EYE010,"Scotoma of blind spot area, unspecified eye              ",
2806,H53431,Visual field defects,visual field defects,EYE010,"Sector or arcuate defects, right eye               ",
2807,H53432,Visual field defects,visual field defects,EYE010,"Sector or arcuate defects, left eye               ",
2808,H53433,Visual field defects,visual field defects,EYE010,"Sector or arcuate defects, bilateral                ",
2809,H53439,Visual field defects,visual field defects,EYE010,"Sector or arcuate defects, unspecified eye               ",
2810,H53451,Visual field defects,visual field defects,EYE010,"Other localized visual field defect, right eye              ",
2811,H53452,Visual field defects,visual field defects,EYE010,"Other localized visual field defect, left eye              ",
2812,H53453,Visual field defects,visual field defects,EYE010,"Other localized visual field defect, bilateral               ",
2813,H53459,Visual field defects,visual field defects,EYE010,"Other localized visual field defect, unspecified eye              ",
2814,H53461,Visual field defects,visual field defects,EYE010,"Homonymous bilateral field defects, right side               ",
2815,H53462,Visual field defects,visual field defects,EYE010,"Homonymous bilateral field defects, left side               ",
2816,H53469,Visual field defects,visual field defects,EYE010,"Homonymous bilateral field defects, unspecified side               ",
2817,H5347,Visual field defects,visual field defects,EYE010,Heteronymous bilateral field defects                 ,
2818,H53481,Visual field defects,visual field defects,EYE010,"Generalized contraction of visual field, right eye              ",
2819,H53482,Visual field defects,visual field defects,EYE010,"Generalized contraction of visual field, left eye              ",
2820,H53483,Visual field defects,visual field defects,EYE010,"Generalized contraction of visual field, bilateral               ",
2821,H53489,Visual field defects,visual field defects,EYE010,"Generalized contraction of visual field, unspecified eye              ",
2822,H5350,Color vision deficiencies,color vision deficiencies,EYE010,Unspecified color vision deficiencies                 ,
2823,H5351,Color vision deficiencies,color vision deficiencies,EYE010,Achromatopsia                    ,
2824,H5352,Color vision deficiencies,color vision deficiencies,EYE010,Acquired color vision deficiency                 ,
2825,H5353,Color vision deficiencies,color vision deficiencies,EYE010,Deuteranomaly                    ,
2826,H5354,Color vision deficiencies,color vision deficiencies,EYE010,Protanomaly                    ,
2827,H5355,Color vision deficiencies,color vision deficiencies,EYE010,Tritanomaly                    ,
2828,H5359,Color vision deficiencies,color vision deficiencies,EYE010,Other color vision deficiencies                 ,
2829,H5360,Night blindness,night blindness,EYE010,Unspecified night blindness                  ,
2830,H5361,Night blindness,night blindness,EYE010,Abnormal dark adaptation curve                 ,
2831,H5362,Night blindness,night blindness,EYE010,Acquired night blindness                  ,
2832,H5363,Night blindness,night blindness,EYE010,Congenital night blindness                  ,
2833,H5369,Night blindness,night blindness,EYE010,Other night blindness                  ,
2834,H5371,Other specified visual disturbances,other spec visual disturbances,EYE010,Glare sensitivity                   ,
2835,H5372,Other specified visual disturbances,other spec visual disturbances,EYE010,Impaired contrast sensitivity                  ,
2836,H538,Other specified visual disturbances,other spec visual disturbances,EYE010,Other visual disturbances                  ,
2837,H539,Other specified visual disturbances,other spec visual disturbances,EYE010,Unspecified visual disturbance                  ,
2838,H540X33,Visual impairment,visual impairment,EYE010,"Blindness right eye category 3, blindness left eye category 3           ",
2839,H540X34,Visual impairment,visual impairment,EYE010,"Blindness right eye category 3, blindness left eye category 4           ",
2840,H540X35,Visual impairment,visual impairment,EYE010,"Blindness right eye category 3, blindness left eye category 5           ",
2841,H540X43,Visual impairment,visual impairment,EYE010,"Blindness right eye category 4, blindness left eye category 3           ",
2842,H540X44,Visual impairment,visual impairment,EYE010,"Blindness right eye category 4, blindness left eye category 4           ",
2843,H540X45,Visual impairment,visual impairment,EYE010,"Blindness right eye category 4, blindness left eye category 5           ",
2844,H540X53,Visual impairment,visual impairment,EYE010,"Blindness right eye category 5, blindness left eye category 3           ",
2845,H540X54,Visual impairment,visual impairment,EYE010,"Blindness right eye category 5, blindness left eye category 4           ",
2846,H540X55,Visual impairment,visual impairment,EYE010,"Blindness right eye category 5, blindness left eye category 5           ",
2847,H5410,Visual impairment,visual impairment,EYE010,"Blindness, one eye, low vision other eye, unspecified eyes            ",
2848,H541131,Visual impairment,visual impairment,EYE010,"Blindness right eye category 3, low vision left eye category 1          ",
2849,H541132,Visual impairment,visual impairment,EYE010,"Blindness right eye category 3, low vision left eye category 2          ",
2850,H541141,Visual impairment,visual impairment,EYE010,"Blindness right eye category 4, low vision left eye category 1          ",
2851,H541142,Visual impairment,visual impairment,EYE010,"Blindness right eye category 4, low vision left eye category 2          ",
2852,H541151,Visual impairment,visual impairment,EYE010,"Blindness right eye category 5, low vision left eye category 1          ",
2853,H541152,Visual impairment,visual impairment,EYE010,"Blindness right eye category 5, low vision left eye category 2          ",
2854,H541213,Visual impairment,visual impairment,EYE010,"Low vision right eye category 1, blindness left eye category 3          ",
2855,H541214,Visual impairment,visual impairment,EYE010,"Low vision right eye category 1, blindness left eye category 4          ",
2856,H541215,Visual impairment,visual impairment,EYE010,"Low vision right eye category 1, blindness left eye category 5          ",
2857,H541223,Visual impairment,visual impairment,EYE010,"Low vision right eye category 2, blindness left eye category 3          ",
2858,H541224,Visual impairment,visual impairment,EYE010,"Low vision right eye category 2, blindness left eye category 4          ",
2859,H541225,Visual impairment,visual impairment,EYE010,"Low vision right eye category 2, blindness left eye category 5          ",
2860,H542X11,Visual impairment,visual impairment,EYE010,"Low vision right eye category 1, low vision left eye category 1         ",
2861,H542X12,Visual impairment,visual impairment,EYE010,"Low vision right eye category 1, low vision left eye category 2         ",
2862,H542X21,Visual impairment,visual impairment,EYE010,"Low vision right eye category 2, low vision left eye category 1         ",
2863,H542X22,Visual impairment,visual impairment,EYE010,"Low vision right eye category 2, low vision left eye category 2         ",
2864,H543,Visual loss,visual loss,EYE010,"Unqualified visual loss, both eyes                ",
2865,H5440,Visual impairment,visual impairment,EYE010,"Blindness, one eye, unspecified eye                ",
2866,H54413A,Visual impairment,visual impairment,EYE010,"Blindness right eye category 3, normal vision left eye            ",
2867,H54414A,Visual impairment,visual impairment,EYE010,"Blindness right eye category 4, normal vision left eye            ",
2868,H54415A,Visual impairment,visual impairment,EYE010,"Blindness right eye category 5, normal vision left eye            ",
2869,H5442A3,Visual impairment,visual impairment,EYE010,"Blindness left eye category 3, normal vision right eye            ",
2870,H5442A4,Visual impairment,visual impairment,EYE010,"Blindness left eye category 4, normal vision right eye            ",
2871,H5442A5,Visual impairment,visual impairment,EYE010,"Blindness left eye category 5, normal vision right eye            ",
2872,H5450,Visual impairment,visual impairment,EYE010,"Low vision, one eye, unspecified eye               ",
2873,H54511A,Visual impairment,visual impairment,EYE010,"Low vision right eye category 1, normal vision left eye           ",
2874,H54512A,Visual impairment,visual impairment,EYE010,"Low vision right eye category 2, normal vision left eye           ",
2875,H5452A1,Visual impairment,visual impairment,EYE010,"Low vision left eye category 1, normal vision right eye           ",
2876,H5452A2,Visual impairment,visual impairment,EYE010,"Low vision left eye category 2, normal vision right eye           ",
2877,H5460,Visual loss,visual loss,EYE010,"Unqualified visual loss, one eye, unspecified               ",
2878,H5461,Visual loss,visual loss,EYE010,"Unqualified visual loss, right eye, normal vision left eye            ",
2879,H5462,Visual loss,visual loss,EYE010,"Unqualified visual loss, left eye, normal vision right eye            ",
2880,H547,Visual loss,visual loss,EYE010,Unspecified visual loss                  ,
2881,H548,Visual impairment,visual impairment,EYE010,"Legal blindness, as defined in USA               ",
2882,H5500,Nystagmus and other irregular eye movements,nystagmus / other irregular eye mvmts,EYE006,Unspecified nystagmus                   ,
2883,H5501,Nystagmus and other irregular eye movements,nystagmus / other irregular eye mvmts,EYE006,Congenital nystagmus                   ,
2884,H5502,Nystagmus and other irregular eye movements,nystagmus / other irregular eye mvmts,EYE006,Latent nystagmus                   ,
2885,H5503,Nystagmus and other irregular eye movements,nystagmus / other irregular eye mvmts,EYE006,Visual deprivation nystagmus                  ,
2886,H5504,Nystagmus and other irregular eye movements,nystagmus / other irregular eye mvmts,EYE006,Dissociated nystagmus                   ,
2887,H5509,Nystagmus and other irregular eye movements,nystagmus / other irregular eye mvmts,EYE006,Other forms of nystagmus                 ,
2888,H5581,Nystagmus and other irregular eye movements,nystagmus / other irregular eye mvmts,EYE006,Saccadic eye movements                  ,
2889,H5589,Nystagmus and other irregular eye movements,nystagmus / other irregular eye mvmts,EYE006,Other irregular eye movements                 ,
2890,H5700,Anomalies of pupillary function,pupillary function anomalies,EYE006,Unspecified anomaly of pupillary function                ,
2891,H5701,Anomalies of pupillary function,pupillary function anomalies,EYE006,"Argyll Robertson pupil, atypical                 ",
2892,H5702,Anomalies of pupillary function,pupillary function anomalies,EYE006,Anisocoria                    ,
2893,H5703,Anomalies of pupillary function,pupillary function anomalies,EYE006,Miosis                    ,
2894,H5704,Anomalies of pupillary function,pupillary function anomalies,EYE006,Mydriasis                    ,
2895,H57051,Anomalies of pupillary function,pupillary function anomalies,EYE006,"Tonic pupil, right eye                 ",
2896,H57052,Anomalies of pupillary function,pupillary function anomalies,EYE006,"Tonic pupil, left eye                 ",
2897,H57053,Anomalies of pupillary function,pupillary function anomalies,EYE006,"Tonic pupil, bilateral                  ",
2898,H57059,Anomalies of pupillary function,pupillary function anomalies,EYE006,"Tonic pupil, unspecified eye                 ",
2899,H5709,Anomalies of pupillary function,pupillary function anomalies,EYE006,Other anomalies of pupillary function                ,
2900,H5710,Pain in or around eye,ocular pain,EYE012,"Ocular pain, unspecified eye                 ",
2901,H5711,Pain in or around eye,ocular pain,EYE012,"Ocular pain, right eye                 ",
2902,H5712,Pain in or around eye,ocular pain,EYE012,"Ocular pain, left eye                 ",
2903,H5713,Pain in or around eye,ocular pain,EYE012,"Ocular pain, bilateral                  ",
2904,H578,Other specified disorders of eye and adnexa,other/unspec eye disorders,EYE012,Other specified disorders of eye and adnexa              ,
2905,H579,Other specified disorders of eye and adnexa,other/unspec eye disorders,EYE012,Unspecified disorder of eye and adnexa               ,
2906,H59011,Disorders of the eye following cataract surgery       ,aphakic bullous k post-cataract surg,EYE011,"Keratopathy (bullous aphakic) following cataract surgery, right eye             ",
2907,H59012,Disorders of the eye following cataract surgery       ,aphakic bullous k post-cataract surg,EYE011,"Keratopathy (bullous aphakic) following cataract surgery, left eye             ",
2908,H59013,Disorders of the eye following cataract surgery       ,aphakic bullous k post-cataract surg,EYE011,"Keratopathy (bullous aphakic) following cataract surgery, bilateral              ",
2909,H59019,Disorders of the eye following cataract surgery       ,aphakic bullous k post-cataract surg,EYE011,"Keratopathy (bullous aphakic) following cataract surgery, unspecified eye             ",
2910,H59021,Disorders of the eye following cataract surgery       ,lens fragments post-cataract surg,EYE011,"Cataract (lens) fragments in eye following cataract surgery, right eye           ",
2911,H59022,Disorders of the eye following cataract surgery       ,lens fragments post-cataract surg,EYE011,"Cataract (lens) fragments in eye following cataract surgery, left eye           ",
2912,H59023,Disorders of the eye following cataract surgery       ,lens fragments post-cataract surg,EYE011,"Cataract (lens) fragments in eye following cataract surgery, bilateral            ",
2913,H59029,Disorders of the eye following cataract surgery       ,lens fragments post-cataract surg,EYE011,"Cataract (lens) fragments in eye following cataract surgery, unspecified eye           ",
2914,H59031,Disorders of the eye following cataract surgery       ,CME post-cataract surg,EYE011,"Cystoid macular edema following cataract surgery, right eye             ",
2915,H59032,Disorders of the eye following cataract surgery       ,CME post-cataract surg,EYE011,"Cystoid macular edema following cataract surgery, left eye             ",
2916,H59033,Disorders of the eye following cataract surgery       ,CME post-cataract surg,EYE011,"Cystoid macular edema following cataract surgery, bilateral              ",
2917,H59039,Disorders of the eye following cataract surgery       ,CME post-cataract surg,EYE011,"Cystoid macular edema following cataract surgery, unspecified eye             ",
2918,H59091,Disorders of the eye following cataract surgery       ,other eye dis post-cataract surg,EYE011,Other disorders of the right eye following cataract surgery            ,
2919,H59092,Disorders of the eye following cataract surgery       ,other eye dis post-cataract surg,EYE011,Other disorders of the left eye following cataract surgery            ,
2920,H59093,Disorders of the eye following cataract surgery       ,other eye dis post-cataract surg,EYE011,"Other disorders of the eye following cataract surgery, bilateral            ",
2921,H59099,Disorders of the eye following cataract surgery       ,other eye dis post-cataract surg,EYE011,Other disorders of unspecified eye following cataract surgery             ,
2922,H59111,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Intraoperative hemorrhage and hematoma of right eye and adnexa complicating an ophthalmic  procedure       ,"Very low numbers (<10), but complete TS data of H59.1%"
2923,H59112,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Intraoperative hemorrhage and hematoma of left eye and adnexa complicating an ophthalmic  procedure       ,"Very low numbers (<10), but complete TS data of H59.1%"
2924,H59113,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,"Intraoperative hemorrhage and hematoma of eye and adnexa complicating an ophthalmic procedure,  bilateral       ","Very low numbers (<10), but complete TS data of H59.1%"
2925,H59119,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Intraoperative hemorrhage and hematoma of unspecified eye and adnexa complicating an ophthalmic  procedure       ,"Very low numbers (<10), but complete TS data of H59.1%"
2926,H59121,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Intraoperative hemorrhage and hematoma of right eye and adnexa complicating other procedure         ,"Very low numbers (<10), but complete TS data of H59.1%"
2927,H59122,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Intraoperative hemorrhage and hematoma of left eye and adnexa complicating other procedure         ,"Very low numbers (<10), but complete TS data of H59.1%"
2928,H59123,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,"Intraoperative hemorrhage and hematoma of eye and adnexa complicating other procedure, bilateral         ","Very low numbers (<10), but complete TS data of H59.1%"
2929,H59129,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Intraoperative hemorrhage and hematoma of unspecified eye and adnexa complicating other procedure         ,"Very low numbers (<10), but complete TS data of H59.1%"
2930,H59211,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Accidental puncture and laceration of right eye and adnexa during an ophthalmic  procedure       ,"Very low numbers (<10), but complete TS data of H59.2%"
2931,H59212,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Accidental puncture and laceration of left eye and adnexa during an ophthalmic  procedure       ,"Very low numbers (<10), but complete TS data of H59.2%"
2932,H59213,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,"Accidental puncture and laceration of eye and adnexa during an ophthalmic procedure,  bilateral       ","Very low numbers (<10), but complete TS data of H59.2%"
2933,H59219,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Accidental puncture and laceration of unspecified eye and adnexa during an ophthalmic  procedure       ,"Very low numbers (<10), but complete TS data of H59.2%"
2934,H59221,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Accidental puncture and laceration of right eye and adnexa during other procedure         ,"Very low numbers (<10), but complete TS data of H59.2%"
2935,H59222,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Accidental puncture and laceration of left eye and adnexa during other procedure         ,"Very low numbers (<10), but complete TS data of H59.2%"
2936,H59223,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,"Accidental puncture and laceration of eye and adnexa during other procedure, bilateral         ","Very low numbers (<10), but complete TS data of H59.2%"
2937,H59229,Intraoperative complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Accidental puncture and laceration of unspecified eye and adnexa during other procedure         ,"Very low numbers (<10), but complete TS data of H59.2%"
2938,H59311,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Postprocedural hemorrhage of right eye and adnexa following an ophthalmic procedure          ,"Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2939,H59312,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Postprocedural hemorrhage of left eye and adnexa following an ophthalmic procedure          ,"Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2940,H59313,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,"Postprocedural hemorrhage of eye and adnexa following an ophthalmic procedure, bilateral          ","Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2941,H59319,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Postprocedural hemorrhage of unspecified eye and adnexa following an ophthalmic procedure          ,"Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2942,H59321,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Postprocedural hemorrhage of right eye and adnexa following other procedure           ,"Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2943,H59322,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Postprocedural hemorrhage of left eye and adnexa following other procedure           ,"Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2944,H59323,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,"Postprocedural hemorrhage of eye and adnexa following other procedure, bilateral           ","Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2945,H59329,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Postprocedural hemorrhage of unspecified eye and adnexa following other procedure           ,"Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2946,H59331,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Postprocedural hematoma of right eye and adnexa following an ophthalmic procedure          ,"Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2947,H59332,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Postprocedural hematoma of left eye and adnexa following an ophthalmic procedure          ,"Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2948,H59333,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,"Postprocedural hematoma of eye and adnexa following an ophthalmic procedure, bilateral          ","Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
2949,H59339,Postprocedural complication of ophthalmic procedure,CODE EXCLUDED,EYE011,Postprocedural hematoma of unspecified eye and adnexa following an ophthalmic procedure          ,"Very low numbers (<50), but complete TS data of H59.3%. Excluding due to reporting anomaly found in Jan 2018"
