"Index","ICD.10.Code","Top10","DiagnosisEntity","CCSR.Category","Diagnosis"
"3098","S02.30XA","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, unspecified side, initial encounter for closed fracture          "
"3099","S02.30XB","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, unspecified side, initial encounter for open fracture          "
"3100","S02.30XD","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, unspecified side, subsequent encounter for fracture with routine  healing       "
"3101","S02.30XG","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, unspecified side, subsequent encounter for fracture with delayed  healing       "
"3102","S02.30XK","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, unspecified side, subsequent encounter for fracture with nonunion         "
"3103","S02.30XS","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, unspecified side, sequela              "
"3104","S02.31XA","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, right side, initial encounter for closed fracture          "
"3105","S02.31XB","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, right side, initial encounter for open fracture          "
"3106","S02.31XD","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, right side, subsequent encounter for fracture with routine  healing       "
"3107","S02.31XG","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, right side, subsequent encounter for fracture with delayed  healing       "
"3108","S02.31XK","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, right side, subsequent encounter for fracture with nonunion         "
"3109","S02.31XS","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, right side, sequela              "
"3110","S02.32XA","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, left side, initial encounter for closed fracture          "
"3111","S02.32XB","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, left side, initial encounter for open fracture          "
"3112","S02.32XD","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, left side, subsequent encounter for fracture with routine  healing       "
"3113","S02.32XG","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, left side, subsequent encounter for fracture with delayed  healing       "
"3114","S02.32XK","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, left side, subsequent encounter for fracture with nonunion         "
"3115","S02.32XS","Orbital floor fracture","orbital floor fracture","EYE008","Fracture of orbital floor, left side, sequela              "
"3116","S04.011A","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic nerve, right eye, initial encounter             "
"3117","S04.011D","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic nerve, right eye, subsequent encounter             "
"3118","S04.011S","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic nerve, right eye, sequela              "
"3119","S04.012A","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic nerve, left eye, initial encounter             "
"3120","S04.012D","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic nerve, left eye, subsequent encounter             "
"3121","S04.012S","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic nerve, left eye, sequela              "
"3122","S04.019A","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic nerve, unspecified eye, initial encounter             "
"3123","S04.019D","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic nerve, unspecified eye, subsequent encounter             "
"3124","S04.019S","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic nerve, unspecified eye, sequela              "
"3125","S04.02XA","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic chiasm, initial encounter               "
"3126","S04.02XD","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic chiasm, subsequent encounter               "
"3127","S04.02XS","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic chiasm, sequela                "
"3128","S04.031A","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic tract and pathways, right side, initial encounter           "
"3129","S04.031D","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic tract and pathways, right side, subsequent encounter           "
"3130","S04.031S","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic tract and pathways, right side, sequela            "
"3131","S04.032A","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic tract and pathways, left side, initial encounter           "
"3132","S04.032D","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic tract and pathways, left side, subsequent encounter           "
"3133","S04.032S","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic tract and pathways, left side, sequela            "
"3134","S04.039A","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic tract and pathways, unspecified side, initial encounter           "
"3135","S04.039D","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic tract and pathways, unspecified side, subsequent encounter           "
"3136","S04.039S","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of optic tract and pathways, unspecified side, sequela            "
"3137","S04.041A","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of visual cortex, right side, initial encounter             "
"3138","S04.041D","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of visual cortex, right side, subsequent encounter             "
"3139","S04.041S","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of visual cortex, right side, sequela              "
"3140","S04.042A","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of visual cortex, left side, initial encounter             "
"3141","S04.042D","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of visual cortex, left side, subsequent encounter             "
"3142","S04.042S","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of visual cortex, left side, sequela              "
"3143","S04.049A","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of visual cortex, unspecified side, initial encounter             "
"3144","S04.049D","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of visual cortex, unspecified side, subsequent encounter             "
"3145","S04.049S","Injury to optic nerve and pathways","optic nerve/pathway injury","EYE006","Injury of visual cortex, unspecified side, sequela              "
"3146","S04.10XA","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of oculomotor nerve, unspecified side, initial encounter             "
"3147","S04.10XD","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of oculomotor nerve, unspecified side, subsequent encounter             "
"3148","S04.10XS","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of oculomotor nerve, unspecified side, sequela              "
"3149","S04.11XA","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of oculomotor nerve, right side, initial encounter             "
"3150","S04.11XD","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of oculomotor nerve, right side, subsequent encounter             "
"3151","S04.11XS","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of oculomotor nerve, right side, sequela              "
"3152","S04.12XA","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of oculomotor nerve, left side, initial encounter             "
"3153","S04.12XD","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of oculomotor nerve, left side, subsequent encounter             "
"3154","S04.12XS","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of oculomotor nerve, left side, sequela              "
"3155","S04.20XA","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of trochlear nerve, unspecified side, initial encounter             "
"3156","S04.20XD","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of trochlear nerve, unspecified side, subsequent encounter             "
"3157","S04.20XS","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of trochlear nerve, unspecified side, sequela              "
"3158","S04.21XA","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of trochlear nerve, right side, initial encounter             "
"3159","S04.21XD","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of trochlear nerve, right side, subsequent encounter             "
"3160","S04.21XS","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of trochlear nerve, right side, sequela              "
"3161","S04.22XA","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of trochlear nerve, left side, initial encounter             "
"3162","S04.22XD","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of trochlear nerve, left side, subsequent encounter             "
"3163","S04.22XS","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of trochlear nerve, left side, sequela              "
"3164","S04.40XA","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of abducent nerve, unspecified side, initial encounter             "
"3165","S04.40XD","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of abducent nerve, unspecified side, subsequent encounter             "
"3166","S04.40XS","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of abducent nerve, unspecified side, sequela              "
"3167","S04.41XA","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of abducent nerve, right side, initial encounter             "
"3168","S04.41XD","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of abducent nerve, right side, subsequent encounter             "
"3169","S04.41XS","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of abducent nerve, right side, sequela              "
"3170","S04.42XA","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of abducent nerve, left side, initial encounter             "
"3171","S04.42XD","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of abducent nerve, left side, subsequent encounter             "
"3172","S04.42XS","Injury to ocular cranial nerves","ocular cranial nerve injury","EYE006","Injury of abducent nerve, left side, sequela              "
"3173","S05.00XA","Superficial injury of cornea","corneal ulcer - unperforated, iso epi defect","EYE001","Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye, initial  encounter       "
"3174","S05.00XD","Superficial injury of cornea","corneal ulcer - unperforated, iso epi defect","EYE001","Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye, subsequent  encounter       "
"3175","S05.00XS","Superficial injury of cornea","corneal ulcer - unperforated, iso epi defect","EYE001","Injury of conjunctiva and corneal abrasion without foreign body, unspecified eye, sequela         "
"3176","S05.01XA","Superficial injury of cornea","corneal ulcer - unperforated, iso epi defect","EYE001","Injury of conjunctiva and corneal abrasion without foreign body, right eye, initial  encounter       "
"3177","S05.01XD","Superficial injury of cornea","corneal ulcer - unperforated, iso epi defect","EYE001","Injury of conjunctiva and corneal abrasion without foreign body, right eye, subsequent  encounter       "
"3178","S05.01XS","Superficial injury of cornea","corneal ulcer - unperforated, iso epi defect","EYE001","Injury of conjunctiva and corneal abrasion without foreign body, right eye, sequela         "
"3179","S05.02XA","Superficial injury of cornea","corneal ulcer - unperforated, iso epi defect","EYE001","Injury of conjunctiva and corneal abrasion without foreign body, left eye, initial  encounter       "
"3180","S05.02XD","Superficial injury of cornea","corneal ulcer - unperforated, iso epi defect","EYE001","Injury of conjunctiva and corneal abrasion without foreign body, left eye, subsequent  encounter       "
"3181","S05.02XS","Superficial injury of cornea","corneal ulcer - unperforated, iso epi defect","EYE001","Injury of conjunctiva and corneal abrasion without foreign body, left eye, sequela         "
"3182","S05.10XA","Contusion of eye and adnexa","eyeball/orbital tissue contusion","EYE008","Contusion of eyeball and orbital tissues, unspecified eye, initial encounter           "
"3183","S05.10XD","Contusion of eye and adnexa","eyeball/orbital tissue contusion","EYE008","Contusion of eyeball and orbital tissues, unspecified eye, subsequent encounter           "
"3184","S05.10XS","Contusion of eye and adnexa","eyeball/orbital tissue contusion","EYE008","Contusion of eyeball and orbital tissues, unspecified eye, sequela            "
"3185","S05.11XA","Contusion of eye and adnexa","eyeball/orbital tissue contusion","EYE008","Contusion of eyeball and orbital tissues, right eye, initial encounter           "
"3186","S05.11XD","Contusion of eye and adnexa","eyeball/orbital tissue contusion","EYE008","Contusion of eyeball and orbital tissues, right eye, subsequent encounter           "
"3187","S05.11XS","Contusion of eye and adnexa","eyeball/orbital tissue contusion","EYE008","Contusion of eyeball and orbital tissues, right eye, sequela            "
"3188","S05.12XA","Contusion of eye and adnexa","eyeball/orbital tissue contusion","EYE008","Contusion of eyeball and orbital tissues, left eye, initial encounter           "
"3189","S05.12XD","Contusion of eye and adnexa","eyeball/orbital tissue contusion","EYE008","Contusion of eyeball and orbital tissues, left eye, subsequent encounter           "
"3190","S05.12XS","Contusion of eye and adnexa","eyeball/orbital tissue contusion","EYE008","Contusion of eyeball and orbital tissues, left eye, sequela            "
"3191","S05.20XA","Open wound of eyeball","ocular laceration w/ prolapse","EYE013","Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified  eye, initial encounter     "
"3192","S05.20XD","Open wound of eyeball","ocular laceration w/ prolapse","EYE013","Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified  eye, subsequent encounter     "
"3193","S05.20XS","Open wound of eyeball","ocular laceration w/ prolapse","EYE013","Ocular laceration and rupture with prolapse or loss of intraocular tissue, unspecified  eye, sequela      "
"3194","S05.21XA","Open wound of eyeball","ocular laceration w/ prolapse","EYE013","Ocular laceration and rupture with prolapse or loss of intraocular tissue, right  eye, initial encounter     "
"3195","S05.21XD","Open wound of eyeball","ocular laceration w/ prolapse","EYE013","Ocular laceration and rupture with prolapse or loss of intraocular tissue, right  eye, subsequent encounter     "
"3196","S05.21XS","Open wound of eyeball","ocular laceration w/ prolapse","EYE013","Ocular laceration and rupture with prolapse or loss of intraocular tissue, right  eye, sequela      "
"3197","S05.22XA","Open wound of eyeball","ocular laceration w/ prolapse","EYE013","Ocular laceration and rupture with prolapse or loss of intraocular tissue, left  eye, initial encounter     "
"3198","S05.22XD","Open wound of eyeball","ocular laceration w/ prolapse","EYE013","Ocular laceration and rupture with prolapse or loss of intraocular tissue, left  eye, subsequent encounter     "
"3199","S05.22XS","Open wound of eyeball","ocular laceration w/ prolapse","EYE013","Ocular laceration and rupture with prolapse or loss of intraocular tissue, left  eye, sequela      "
"3200","S05.30XA","Open wound of eyeball","ocular laceration w/o prolapse","EYE013","Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, initial  encounter       "
"3201","S05.30XD","Open wound of eyeball","ocular laceration w/o prolapse","EYE013","Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, subsequent  encounter       "
"3202","S05.30XS","Open wound of eyeball","ocular laceration w/o prolapse","EYE013","Ocular laceration without prolapse or loss of intraocular tissue, unspecified eye, sequela         "
"3203","S05.31XA","Open wound of eyeball","ocular laceration w/o prolapse","EYE013","Ocular laceration without prolapse or loss of intraocular tissue, right eye, initial  encounter       "
"3204","S05.31XD","Open wound of eyeball","ocular laceration w/o prolapse","EYE013","Ocular laceration without prolapse or loss of intraocular tissue, right eye, subsequent  encounter       "
"3205","S05.31XS","Open wound of eyeball","ocular laceration w/o prolapse","EYE013","Ocular laceration without prolapse or loss of intraocular tissue, right eye, sequela         "
"3206","S05.32XA","Open wound of eyeball","ocular laceration w/o prolapse","EYE013","Ocular laceration without prolapse or loss of intraocular tissue, left eye, initial  encounter       "
"3207","S05.32XD","Open wound of eyeball","ocular laceration w/o prolapse","EYE013","Ocular laceration without prolapse or loss of intraocular tissue, left eye, subsequent  encounter       "
"3208","S05.32XS","Open wound of eyeball","ocular laceration w/o prolapse","EYE013","Ocular laceration without prolapse or loss of intraocular tissue, left eye, sequela         "
"3209","S05.40XA","Open wound of eyeball","orbit penetrating wound, unspec","EYE013","Penetrating wound of orbit with or without foreign body, unspecified eye, initial  encounter       "
"3210","S05.40XD","Open wound of eyeball","orbit penetrating wound, unspec","EYE013","Penetrating wound of orbit with or without foreign body, unspecified eye, subsequent  encounter       "
"3211","S05.40XS","Open wound of eyeball","orbit penetrating wound, unspec","EYE013","Penetrating wound of orbit with or without foreign body, unspecified eye, sequela         "
"3212","S05.41XA","Open wound of eyeball","orbit penetrating wound, unspec","EYE013","Penetrating wound of orbit with or without foreign body, right eye, initial  encounter       "
"3213","S05.41XD","Open wound of eyeball","orbit penetrating wound, unspec","EYE013","Penetrating wound of orbit with or without foreign body, right eye, subsequent  encounter       "
"3214","S05.41XS","Open wound of eyeball","orbit penetrating wound, unspec","EYE013","Penetrating wound of orbit with or without foreign body, right eye, sequela         "
"3215","S05.42XA","Open wound of eyeball","orbit penetrating wound, unspec","EYE013","Penetrating wound of orbit with or without foreign body, left eye, initial  encounter       "
"3216","S05.42XD","Open wound of eyeball","orbit penetrating wound, unspec","EYE013","Penetrating wound of orbit with or without foreign body, left eye, subsequent  encounter       "
"3217","S05.42XS","Open wound of eyeball","orbit penetrating wound, unspec","EYE013","Penetrating wound of orbit with or without foreign body, left eye, sequela         "
"3218","S05.50XA","Open wound of eyeball","orbit penetrating wound w/ FB","EYE013","Penetrating wound with foreign body of unspecified eyeball, initial encounter           "
"3219","S05.50XD","Open wound of eyeball","orbit penetrating wound w/ FB","EYE013","Penetrating wound with foreign body of unspecified eyeball, subsequent encounter           "
"3220","S05.50XS","Open wound of eyeball","orbit penetrating wound w/ FB","EYE013","Penetrating wound with foreign body of unspecified eyeball, sequela            "
"3221","S05.51XA","Open wound of eyeball","orbit penetrating wound w/ FB","EYE013","Penetrating wound with foreign body of right eyeball, initial encounter           "
"3222","S05.51XD","Open wound of eyeball","orbit penetrating wound w/ FB","EYE013","Penetrating wound with foreign body of right eyeball, subsequent encounter           "
"3223","S05.51XS","Open wound of eyeball","orbit penetrating wound w/ FB","EYE013","Penetrating wound with foreign body of right eyeball, sequela            "
"3224","S05.52XA","Open wound of eyeball","orbit penetrating wound w/ FB","EYE013","Penetrating wound with foreign body of left eyeball, initial encounter           "
"3225","S05.52XD","Open wound of eyeball","orbit penetrating wound w/ FB","EYE013","Penetrating wound with foreign body of left eyeball, subsequent encounter           "
"3226","S05.52XS","Open wound of eyeball","orbit penetrating wound w/ FB","EYE013","Penetrating wound with foreign body of left eyeball, sequela            "
"3227","S05.60XA","Open wound of eyeball","orbit penetrating wound w/o FB","EYE013","Penetrating wound without foreign body of unspecified eyeball, initial encounter           "
"3228","S05.60XD","Open wound of eyeball","orbit penetrating wound w/o FB","EYE013","Penetrating wound without foreign body of unspecified eyeball, subsequent encounter           "
"3229","S05.60XS","Open wound of eyeball","orbit penetrating wound w/o FB","EYE013","Penetrating wound without foreign body of unspecified eyeball, sequela            "
"3230","S05.61XA","Open wound of eyeball","orbit penetrating wound w/o FB","EYE013","Penetrating wound without foreign body of right eyeball, initial encounter           "
"3231","S05.61XD","Open wound of eyeball","orbit penetrating wound w/o FB","EYE013","Penetrating wound without foreign body of right eyeball, subsequent encounter           "
"3232","S05.61XS","Open wound of eyeball","orbit penetrating wound w/o FB","EYE013","Penetrating wound without foreign body of right eyeball, sequela            "
"3233","S05.62XA","Open wound of eyeball","orbit penetrating wound w/o FB","EYE013","Penetrating wound without foreign body of left eyeball, initial encounter           "
"3234","S05.62XD","Open wound of eyeball","orbit penetrating wound w/o FB","EYE013","Penetrating wound without foreign body of left eyeball, subsequent encounter           "
"3235","S05.62XS","Open wound of eyeball","orbit penetrating wound w/o FB","EYE013","Penetrating wound without foreign body of left eyeball, sequela            "
"3236","S05.70XA","Open wound of eyeball","eye avulsion","EYE013","Avulsion of unspecified eye, initial encounter               "
"3237","S05.70XD","Open wound of eyeball","eye avulsion","EYE013","Avulsion of unspecified eye, subsequent encounter               "
"3238","S05.70XS","Open wound of eyeball","eye avulsion","EYE013","Avulsion of unspecified eye, sequela                "
"3239","S05.71XA","Open wound of eyeball","eye avulsion","EYE013","Avulsion of right eye, initial encounter               "
"3240","S05.71XD","Open wound of eyeball","eye avulsion","EYE013","Avulsion of right eye, subsequent encounter               "
"3241","S05.71XS","Open wound of eyeball","eye avulsion","EYE013","Avulsion of right eye, sequela                "
"3242","S05.72XA","Open wound of eyeball","eye avulsion","EYE013","Avulsion of left eye, initial encounter               "
"3243","S05.72XD","Open wound of eyeball","eye avulsion","EYE013","Avulsion of left eye, subsequent encounter               "
"3244","S05.72XS","Open wound of eyeball","eye avulsion","EYE013","Avulsion of left eye, sequela                "
"3245","S05.8X1A","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Other injuries of right eye and orbit, initial encounter            "
"3246","S05.8X1D","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Other injuries of right eye and orbit, subsequent encounter            "
"3247","S05.8X1S","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Other injuries of right eye and orbit, sequela             "
"3248","S05.8X2A","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Other injuries of left eye and orbit, initial encounter            "
"3249","S05.8X2D","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Other injuries of left eye and orbit, subsequent encounter            "
"3250","S05.8X2S","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Other injuries of left eye and orbit, sequela             "
"3251","S05.8X9A","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Other injuries of unspecified eye and orbit, initial encounter            "
"3252","S05.8X9D","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Other injuries of unspecified eye and orbit, subsequent encounter            "
"3253","S05.8X9S","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Other injuries of unspecified eye and orbit, sequela             "
"3254","S05.90XA","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Unspecified injury of unspecified eye and orbit, initial encounter            "
"3255","S05.90XD","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Unspecified injury of unspecified eye and orbit, subsequent encounter            "
"3256","S05.90XS","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Unspecified injury of unspecified eye and orbit, sequela             "
"3257","S05.91XA","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Unspecified injury of right eye and orbit, initial encounter            "
"3258","S05.91XD","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Unspecified injury of right eye and orbit, subsequent encounter            "
"3259","S05.91XS","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Unspecified injury of right eye and orbit, sequela             "
"3260","S05.92XA","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Unspecified injury of left eye and orbit, initial encounter            "
"3261","S05.92XD","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Unspecified injury of left eye and orbit, subsequent encounter            "
"3262","S05.92XS","Other injuries of the eye and adnexa","other/unspec eye injuries","EYE008","Unspecified injury of left eye and orbit, sequela             "
".","T15.00XA","Foreign body on external eye","FB, cornea","EYE001","Foreign body in cornea, unspecified eye, initial encounter             "
"3264","T15.00XD","Foreign body on external eye","FB, cornea","EYE001","Foreign body in cornea, unspecified eye, subsequent encounter             "
"3265","T15.00XS","Foreign body on external eye","FB, cornea","EYE001","Foreign body in cornea, unspecified eye, sequela              "
"3266","T15.01XA","Foreign body on external eye","FB, cornea","EYE001","Foreign body in cornea, right eye, initial encounter             "
"3267","T15.01XD","Foreign body on external eye","FB, cornea","EYE001","Foreign body in cornea, right eye, subsequent encounter             "
"3268","T15.01XS","Foreign body on external eye","FB, cornea","EYE001","Foreign body in cornea, right eye, sequela              "
"3269","T15.02XA","Foreign body on external eye","FB, cornea","EYE001","Foreign body in cornea, left eye, initial encounter             "
"3270","T15.02XD","Foreign body on external eye","FB, cornea","EYE001","Foreign body in cornea, left eye, subsequent encounter             "
"3271","T15.02XS","Foreign body on external eye","FB, cornea","EYE001","Foreign body in cornea, left eye, sequela              "
"3272","T15.10XA","Foreign body on external eye","FB, conjunctival sac","EYE001","Foreign body in conjunctival sac, unspecified eye, initial encounter            "
"3273","T15.10XD","Foreign body on external eye","FB, conjunctival sac","EYE001","Foreign body in conjunctival sac, unspecified eye, subsequent encounter            "
"3274","T15.10XS","Foreign body on external eye","FB, conjunctival sac","EYE001","Foreign body in conjunctival sac, unspecified eye, sequela             "
"3275","T15.11XA","Foreign body on external eye","FB, conjunctival sac","EYE001","Foreign body in conjunctival sac, right eye, initial encounter            "
"3276","T15.11XD","Foreign body on external eye","FB, conjunctival sac","EYE001","Foreign body in conjunctival sac, right eye, subsequent encounter            "
"3277","T15.11XS","Foreign body on external eye","FB, conjunctival sac","EYE001","Foreign body in conjunctival sac, right eye, sequela             "
"3278","T15.12XA","Foreign body on external eye","FB, conjunctival sac","EYE001","Foreign body in conjunctival sac, left eye, initial encounter            "
"3279","T15.12XD","Foreign body on external eye","FB, conjunctival sac","EYE001","Foreign body in conjunctival sac, left eye, subsequent encounter            "
"3280","T15.12XS","Foreign body on external eye","FB, conjunctival sac","EYE001","Foreign body in conjunctival sac, left eye, sequela             "
"3281","T15.80XA","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body in other and multiple parts of external eye, unspecified eye,  initial encounter      "
"3282","T15.80XD","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body in other and multiple parts of external eye, unspecified eye,  subsequent encounter      "
"3283","T15.80XS","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body in other and multiple parts of external eye, unspecified eye,  sequela       "
"3284","T15.81XA","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body in other and multiple parts of external eye, right eye,  initial encounter      "
"3285","T15.81XD","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body in other and multiple parts of external eye, right eye,  subsequent encounter      "
"3286","T15.81XS","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body in other and multiple parts of external eye, right eye,  sequela       "
"3287","T15.82XA","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body in other and multiple parts of external eye, left eye,  initial encounter      "
"3288","T15.82XD","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body in other and multiple parts of external eye, left eye,  subsequent encounter      "
"3289","T15.82XS","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body in other and multiple parts of external eye, left eye,  sequela       "
"3290","T15.90XA","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body on external eye, part unspecified, unspecified eye, initial encounter          "
"3291","T15.90XD","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body on external eye, part unspecified, unspecified eye, subsequent encounter          "
"3292","T15.90XS","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body on external eye, part unspecified, unspecified eye, sequela           "
"3293","T15.91XA","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body on external eye, part unspecified, right eye, initial encounter          "
"3294","T15.91XD","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body on external eye, part unspecified, right eye, subsequent encounter          "
"3295","T15.91XS","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body on external eye, part unspecified, right eye, sequela           "
"3296","T15.92XA","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body on external eye, part unspecified, left eye, initial encounter          "
"3297","T15.92XD","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body on external eye, part unspecified, left eye, subsequent encounter          "
"3298","T15.92XS","Foreign body on external eye","FB, external eye other/unspec","EYE001","Foreign body on external eye, part unspecified, left eye, sequela           "
"3299","T26.00XA","Burn confined to eye and adnexa","burn, eyelid/periocular","EYE008","Burn of unspecified eyelid and periocular area, initial encounter            "
"3300","T26.00XD","Burn confined to eye and adnexa","burn, eyelid/periocular","EYE008","Burn of unspecified eyelid and periocular area, subsequent encounter            "
"3301","T26.00XS","Burn confined to eye and adnexa","burn, eyelid/periocular","EYE008","Burn of unspecified eyelid and periocular area, sequela             "
"3302","T26.01XA","Burn confined to eye and adnexa","burn, eyelid/periocular","EYE008","Burn of right eyelid and periocular area, initial encounter            "
"3303","T26.01XD","Burn confined to eye and adnexa","burn, eyelid/periocular","EYE008","Burn of right eyelid and periocular area, subsequent encounter            "
